Year,Planting.date,Unit ,Plot,Species,Number,Soil,Slash,VSMxtree,HT.cm.initial,RCD.mm.initial
2020,5/14/21,8,1,TIAM,7,S,1,23.6,19,2.7
2020,5/14/21,8,1,TIAM,8,S,1,24.9,29,3.4
2020,5/14/21,8,1,TIAM,9,U,1,24.8,27,3.3
2020,5/14/21,8,1,TIAM,10,S,0,24.8,17,3.6
2020,5/14/21,8,1,TIAM,11,S,0,28.3,22,5.8
2020,5/14/21,8,1,TIAM,12,S,0,24.7,18,3.6
2020,5/14/21,8,1,TIAM,13,S,1,26.8,31,7.7
2020,5/14/21,8,1,TIAM,14,S,1,22.8,25,5.1
2020,5/14/21,8,1,TIAM,15,U,0,29.1,23,3.3
2020,5/14/21,8,1,TIAM,16,S,0,19,27,4.9
2020,5/14/21,8,1,TIAM,17,S,1,27.8,26.5,8.9
2020,5/14/21,8,1,TIAM,18,U,0,28.9,11,2.7
2020,5/14/21,8,1,TIAM,19,U,0,30.6,22,5
2020,5/14/21,8,1,TIAM,20,U,1,9.8,17,2.1
2020,5/14/21,3,5,ACRU,1,U,1,25.8,23,4
2020,5/14/21,3,5,ACRU,2,U,0,23.5,26.5,5.1
2020,5/14/21,3,5,ACRU,3,U,0,26.8,27,6
2020,5/14/21,3,5,ACRU,4,U,1,28.6,25.5,4
2020,5/14/21,3,5,ACRU,5,U,1,24,28.5,4.5
2020,5/14/21,3,5,ACRU,6,U,0,22.6,20,2.6
2020,5/14/21,3,5,ACRU,7,U,0,19,22.5,4.9
2020,5/14/21,3,5,ACRU,8,U,1,28,30,4
2020,5/14/21,3,5,ACRU,9,U,0,25,31,5.9
2020,5/14/21,3,5,ACRU,10,U,2,19.9,23.5,6
2020,5/14/21,3,5,ACRU,11,U,2,26.3,33.5,4.1
2020,5/14/21,3,5,ACRU,12,U,3,30.7,27.5,4.3
2020,5/14/21,3,5,ACRU,13,U,1,29.3,27,4.3
2020,5/14/21,3,5,ACRU,14,U,1,29.5,25.5,2.6
2020,5/14/21,3,5,ACRU,15,U,1,21.2,21.5,4.7
2020,5/14/21,3,5,ACRU,16,U,3,24.7,24.2,4.8
2020,5/14/21,3,5,ACRU,17,U,1,29.8,32.5,3.4
2020,5/14/21,3,5,ACRU,18,U,2,28.6,30.5,3.7
2020,5/14/21,3,5,ACRU,19,U,3,23.4,28,5.3
2020,5/14/21,3,5,ACRU,20,U,0,21.4,26,6.4
